"name","url","price"
"Apple iPhone SE with FaceTime - 16 GB, 4G LTE, WiFi, Rose Gold","http://uae.souq.com/ae-en/apple-iphone-se-with-facetime-16-gb-4g-lte-wifi-rose-gold-10432911/i/","1,649.00"
"Apple iPhone 6 With FaceTime - 16GB, 4G LTE, Gold","http://uae.souq.com/ae-en/apple-iphone-6-with-facetime-16gb-4g-lte-gold-7274040/i/","1,999.00"
"Apple iPhone 6s Plus without FaceTime - 64GB, 4G LTE, Rose Gold","http://uae.souq.com/ae-en/apple-iphone-6s-plus-without-facetime-64gb-4g-lte-rose-gold-9061848/i/","3,248.00"
"Apple iPhone 5S - 16GB, 4G LTE, Gold","http://uae.souq.com/ae-en/apple-iphone-5s-16gb-4g-lte-gold-5754385/i/","1,229.00"
"Apple iPhone 6s Plus with FaceTime - 128GB, 4G LTE, Space Gray","http://uae.souq.com/ae-en/apple-iphone-6s-plus-with-facetime-128gb-4g-lte-space-gray-9000858/i/","3,149.00"
"Apple iPhone 6s Plus with FaceTime - 128GB, 4G LTE, Rose Gold","http://uae.souq.com/ae-en/apple-iphone-6s-plus-with-facetime-128gb-4g-lte-rose-gold-9044822/i/","3,199.00"
"Apple iPhone 6s Plus with FaceTime - 64GB, 4G LTE, Space Gray","http://uae.souq.com/ae-en/apple-iphone-6s-plus-with-facetime-64gb-4g-lte-space-gray-9000755/i/","2,949.00"
"Apple iPhone 5S - 16GB, 4G LTE, Space Gray","http://uae.souq.com/ae-en/apple-iphone-5s-16gb-4g-lte-space-gray-5754742/i/","1,049.00"
"Apple iPhone 6s with FaceTime - 64GB, 4G LTE, Space Gray","http://uae.souq.com/ae-en/apple-iphone-6s-with-facetime-64gb-4g-lte-space-gray-8992273/i/","2,549.00"
"Apple iPhone 6s with FaceTime- 64GB, 4G LTE, Gold","http://uae.souq.com/ae-en/apple-iphone-6s-with-facetime-64gb-4g-lte-gold-8992837/i/","2,479.00"
"Apple iPhone 5S - 16GB, 4G LTE, Silver","http://uae.souq.com/ae-en/apple-iphone-5s-16gb-4g-lte-silver-5754633/i/","1,049.00"
"Apple iPhone 6s with FaceTime - 64GB, 4G LTE, Rose Gold","http://uae.souq.com/ae-en/apple-iphone-6s-with-facetime-64gb-4g-lte-rose-gold-9044760/i/","2,499.00"
